Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2019-09-05,66.339996,42.470001,207.050003,112.370003
2019-09-06,65.970001,42.180000,207.210007,112.610001
2019-09-09,68.790001,43.110001,211.979996,115.400002
2019-09-10,68.980003,43.580002,215.630005,116.870003
2019-09-11,68.900002,43.939999,216.800003,117.190002
2019-09-12,69.300003,44.320000,218.740005,117.910004
2019-09-13,70.389999,45.160000,219.899994,120.230003
2019-09-16,69.830002,44.750000,217.220001,119.160004
2019-09-17,69.480003,44.209999,215.910004,118.570000
2019-09-18,70.089996,44.360001,217.080002,119.760002
2019-09-19,69.730003,44.020000,215.229996,119.379997
2019-09-20,69.349998,43.669998,213.740005,118.900002
2019-09-23,69.550003,43.560001,213.460007,118.879997
2019-09-24,67.900002,42.540001,207.750000,117.330002
2019-09-25,69.379997,43.040001,210.029999,118.000000
2019-09-26,69.110001,42.619999,208.220001,117.029999
2019-09-27,69.459999,42.840000,208.970001,117.720001
2019-09-30,69.080002,42.669998,207.229996,117.690002
2019-10-01,68.150002,41.380001,202.690002,115.550003
2019-10-02,66.260002,40.230000,198.250000,113.250000
2019-10-03,66.699997,40.250000,197.240005,112.190002
2019-10-04,68.180000,40.779999,200.800003,114.620003
2019-10-07,68.150002,40.680000,200.399994,114.370003
2019-10-08,66.400002,39.820000,197.369995,111.820000
2019-10-09,67.430000,40.439999,196.850006,112.629997
2019-10-10,68.620003,41.049999,199.869995,114.209999
2019-10-11,70.099998,41.930000,204.679993,116.139999
2019-10-14,70.239998,42.250000,205.820007,116.449997
2019-10-15,71.220001,42.529999,206.460007,119.959999
2019-10-16,69.500000,42.790001,207.419998,119.680000
2019-10-17,69.599998,43.439999,206.460007,120.349998
2019-10-18,69.739998,43.660000,206.520004,120.559998
2019-10-21,71.809998,44.980000,209.250000,123.550003
2019-10-22,72.059998,45.380001,209.600006,124.790001
2019-10-23,72.449997,45.910000,211.320007,125.120003
2019-10-24,72.300003,45.759998,211.050003,125.029999
2019-10-25,73.169998,46.369999,214.229996,126.029999
2019-10-28,73.589996,46.840000,217.750000,126.510002
2019-10-29,73.089996,46.830002,217.639999,126.430000
2019-10-30,72.970001,46.259998,215.809998,125.730003
2019-10-31,71.860001,46.049999,213.380005,124.919998
2019-11-01,73.839996,47.330002,217.389999,127.800003
2019-11-04,75.150002,48.830002,219.869995,128.820007
2019-11-05,74.830002,48.750000,218.639999,129.100006
2019-11-06,74.419998,48.560001,218.419998,129.300003
2019-11-07,75.809998,48.660000,223.289993,130.000000
